Category,Word
correction,accuse
correction,admonish
correction,allege
coercion,allow
surveillance,assess
surveillance,audit
confinement,ban
confinement,bar
confinement,bind
correction,chastise
surveillance,check
coercion,coerce
coercion,compel
confinement,confine
surveillance,confiscate
correction,consequence
confinement,constrain
confinement,constrict
coercion,control
correction,correct
correction,crime
confinement,detain
surveillance,detect
coercion,direct
confinement,disallow
correction,discipline
surveillance,discover
correction,dismiss
coercion,enforce
surveillance,examine
correction,expel
surveillance,follow
coercion,force
surveillance,frisk
confinement,imprison
correction,improve
confinement,incarcerate
correction,infraction
confinement,inhibit
surveillance,inspect
confinement,limit
coercion,manipulate
coercion,mold
surveillance,monitor
coercion,obligate
coercion,oblige
surveillance,observe
surveillance,oversee
correction,penal
coercion,permit
coercion,pressure
confinement,prohibit
correction,punish
surveillance,record
correction,rectify
correction,reform
correction,regulate
correction,rehab
correction,remedial
correction,remedy
correction,reorganize
correction,repair
coercion,repress
correction,reprimand
confinement,restrain
confinement,restrict
correction,revamp
correction,review
correction,rule
surveillance,scan
surveillance,scrutiny
surveillance,search
surveillance,seize
correction,sentence
correction,severe
coercion,shape
coercion,steer
surveillance,supervise
coercion,suppress
surveillance,survey
confinement,suspend
surveillance,track
surveillance,vigilant
correction,violate
surveillance,watch
confinement,withhold
coercion,conform
coercion,mandate
coercion,contract
